Level.code	Main.food.description
7331	Pumpkin, canned
7332	Flowers or blossoms of sesbania, squash, or lily, cooked
74	Tomatoes_and_tomato_sauces
740	Fresh_tomatoes
7400	Tomatoes, raw
7401	Tomatoes, dehydrated
741	Tomato_products
7410	Tomatoes, canned/cooked
7411	Juice, tomato
7412	Tomato paste
7413	Tomato sauce, canned/cooked
7414	Tomato puree, canned/cooked
75	Common_vegetables
750	Cabbage_family
7500	Cabbage
75000	Cabbage, raw
75001	Cabbage, cooked
75002	Cabbage, mustard, cooked
7501	Cauliflower
75010	Cauliflower, raw
75011	Cauliflower, cooked
751	Root_vegetables
7510	Beets
75100	Beets, raw
75101	Beets, canned/cooked
75102	Beets, canned
7511	Turnips
75110	Turnips, raw
75111	Turnips, canned/cooked
7512	Radishes, raw
7513	Rutabagas
75130	Rutabagas, raw
75131	Rutabagas, cooked
7514	Parsnips, cooked
7515	Other_roots
75150	Burdock root, cooked
75151	Yambean (jicama), raw
75152	Cassava, cooked
75153	Yam, cooked
75154	Taro, cooked
75155	Taro leaves, cooked
752	Onion_family
7520	Onions
75200	Onions, raw
75201	Onions, canned/cooked
75202	Onions, dehydrated
75203	Onions, green/spring/scallions, raw
7521	Leeks, (bulb and lower-leaf portion), cooked
7522	Chives, raw
7523	Garlic, cooked
753	Peppers
7530	Sweet_peppers
75300	Peppers, sweet/bell, raw
75301	Peppers, sweet/bell, cooked
75302	Pimento
7531	Hot_peppers
75310	Peppers, non-bell, raw
75311	Peppers, non-bell, canned/cooked
754	Squash, summer, cooked
755	Seeds, alfalfa, sprouted, raw
756	Corn
7560	Corn (vegetable), raw
